,word,CLINTON,O'MALLEY,SANDERS,Total
1630,objections,0.0,0.029411764705882353,0.0,0.011904761904761904
1631,highestearning,0.0,0.029411764705882353,0.0,0.011904761904761904
1632,loud,0.0,0.029411764705882353,0.0,0.011904761904761904
1633,expression,0.0,0.029411764705882353,0.0,0.011904761904761904
1634,virginia,0.0,0.029411764705882353,0.0,0.011904761904761904
1635,genocidal,0.0,0.029411764705882353,0.0,0.011904761904761904
1636,unemployment,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1637,wider,0.0,0.029411764705882353,0.0,0.011904761904761904
1638,stability,0.0,0.029411764705882353,0.0,0.0
1639,apart,0.0,0.029411764705882353,0.0,0.011904761904761904
1640,barbed,0.0,0.029411764705882353,0.0,0.0
1641,pain,0.0,0.029411764705882353,0.0,0.011904761904761904
1642,monthly,0.0,0.029411764705882353,0.0,0.0
1643,expect,0.0,0.029411764705882353,0.0,0.011904761904761904
1644,actual,0.0,0.029411764705882353,0.0,0.011904761904761904
1645,fully,0.0,0.029411764705882353,0.0,0.011904761904761904
1646,recently,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1647,northeast,0.0,0.029411764705882353,0.0,0.011904761904761904
1648,tells,0.0,0.029411764705882353,0.0,0.0
1649,volume,0.0,0.029411764705882353,0.0,0.011904761904761904
1650,man,0.0,0.029411764705882353,0.0,0.011904761904761904
1651,borrow,0.0,0.029411764705882353,0.0,0.0
1652,involving,0.0,0.029411764705882353,0.0,0.011904761904761904
1653,prospective,0.0,0.029411764705882353,0.0,0.011904761904761904
1654,painful,0.0,0.029411764705882353,0.0,0.011904761904761904
1655,breaking,0.0,0.029411764705882353,0.0,0.011904761904761904
1656,verge,0.0,0.029411764705882353,0.0,0.0
1657,contribute,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1658,guy,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1659,easier,0.0,0.029411764705882353,0.0,0.011904761904761904
1660,tune,0.0,0.029411764705882353,0.0,0.011904761904761904
1661,continued,0.0,0.029411764705882353,0.0,0.011904761904761904
1662,ii,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1663,block,0.0,0.029411764705882353,0.0,0.011904761904761904
